Customer_ID,Customer_Name,Region,Segment,City,State,Country,Market,Market2
AA-103151,"Alex Avila","Southeast Asia",Consumer,Wollongong,"Western Visayas",Philippines,APAC,APAC
AA-103152,"Alex Avila",South,Consumer,Parla,Madrid,"United Kingdom",EU,EU
AA-103153,"Alex Avila",North,Consumer,"Mexico City",Sinaloa,Mexico,LATAM,LATAM
AA-103154,"Alex Avila",West,Consumer,"San Francisco",Texas,"United States",US,"North America"
AA-103751,"Allen Armold",Oceania,Consumer,Tamworth,Wellington,"New Zealand",APAC,APAC
AA-103752,"Allen Armold",South,Consumer,"Sesto San Giovanni","Pays de la Loire",Italy,EU,EU
AA-103753,"Allen Armold",South,Consumer,Zapopan,Sonora,Peru,LATAM,LATAM
AA-103754,"Allen Armold",West,Consumer,Salem,Tennessee,"United States",US,"North America"
AA-104801,"Andrew Allen","Southeast Asia",Consumer,Valenzuela,"South Australia",Thailand,APAC,APAC
AA-104802,"Andrew Allen",North,Consumer,Lyon,Saxony,"United Kingdom",EU,EU
AA-104803,"Andrew Allen",South,Consumer,Toluca,México,Peru,LATAM,LATAM
AA-104804,"Andrew Allen",South,Consumer,Springfield,"North Carolina","United States",US,"North America"
AA-106451,"Anna Andreadi","Southeast Asia",Consumer,Taiping,Victoria,Malaysia,APAC,APAC
AA-106452,"Anna Andreadi",South,Consumer,Wallasey,Vienna,"United Kingdom",EU,EU
AA-106453,"Anna Andreadi",South,Consumer,Torreón,"Santo Domingo",Panama,LATAM,LATAM
AA-106454,"Anna Andreadi",West,Consumer,"San Francisco",Pennsylvania,"United States",US,"North America"
AA-3151,"Alex Avila",Africa,Consumer,Kankan,Kankan,Guinea,Africa,Africa
AA-3152,"Alex Avila",EMEA,Consumer,Kaspiysk,Hrodna,Ukraine,EMEA,EMEA
AA-3751,"Allen Armold",Africa,Consumer,Nairobi,Southern,Zambia,Africa,Africa
AA-3752,"Allen Armold",Canada,Consumer,Montréal,Quebec,Canada,Canada,"North America"
AA-3753,"Allen Armold",EMEA,Consumer,Lodz,Makkah,Turkey,EMEA,EMEA
AA-4801,"Andrew Allen",Africa,Consumer,Kuito,Bie,Angola,Africa,Africa
AA-4802,"Andrew Allen",Canada,Consumer,Toronto,Ontario,Canada,Canada,"North America"
AA-4803,"Andrew Allen",EMEA,Consumer,Siauliai,Volyn,Ukraine,EMEA,EMEA
AA-6451,"Anna Andreadi",Africa,Consumer,Sale,Rabat-Salé-Zemmour-Zaer,"South Africa",Africa,Africa
AA-6452,"Anna Andreadi",EMEA,Consumer,Mosul,Ninawa,Ukraine,EMEA,EMEA
